ID,Customer_care_calls,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached_on_Time_y_n,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Customer_rating_1,Customer_rating_2,Customer_rating_3,Customer_rating_4,Customer_rating_5,Product_importance_high,Product_importance_low,Product_importance_medium,Gender_F,Gender_M
1,4,177,3,44,1233,1,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False
2,4,216,2,59,3088,1,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True
3,2,183,4,48,3374,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
4,3,176,4,10,1177,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
5,2,184,3,46,2484,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
6,3,162,3,12,1417,1,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False
7,3,250,3,3,2371,1,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
8,4,233,2,48,2804,1,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False
9,3,150,3,11,1861,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
10,3,164,3,29,1187,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
11,3,189,2,12,2888,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
12,4,232,3,32,3253,1,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False
13,3,198,3,1,3667,1,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,True,False
14,4,275,3,29,2602,1,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True
15,4,152,3,43,1009,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
16,4,227,3,45,2707,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
17,3,143,2,6,1194,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
18,5,227,3,36,3952,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True
19,5,239,3,18,2495,1,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True
20,4,145,3,45,1059,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True
21,3,161,2,38,1521,1,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
22,3,232,4,51,2899,1,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
23,2,156,2,2,1750,1,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True
24,4,211,3,12,3922,1,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
25,4,251,2,28,3561,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False
26,3,225,4,29,3496,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True
27,4,172,3,24,1066,1,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False
28,5,162,3,31,1435,1,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
29,2,234,4,44,3134,1,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
30,5,183,2,36,3819,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
31,3,266,2,38,2741,1,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False
32,5,257,2,61,3341,1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
33,3,223,3,22,3795,1,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
34,4,234,3,4,3261,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True
35,4,227,4,22,2460,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
36,5,149,3,44,1811,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False
37,3,137,4,62,1477,1,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False
38,2,181,6,16,3605,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False
39,5,215,4,56,3905,1,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
40,4,269,5,45,2383,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
41,5,227,2,15,3798,1,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
42,5,139,4,61,1265,1,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True
43,3,137,2,38,1647,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True
44,3,174,2,44,1556,1,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True
45,3,151,2,29,1328,1,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
